"Phrase, Frequency"
"FOR BEHOLD THEY HAD HARDENED,1"
"AND UPON THE TOP,1"
"I AM THE SAME THAT,1"
"AND THIS CITY BECAME,1"
"AND THEY WERE BAPTIZED THROUGHOUT,1"
"FOR BEHOLD I SAY UNTO,5"
"AND THUS ENDED THE SEVENTEENTH,1"
"FOR THOU HAST BROKEN,1"
"BUT GIDGIDDONI,1"
"AND IF THESE THINGS ARE,1"
"AND BEHOLD IT WAS NIGHT,1"
"AND THEY STRAIGHTWAY CAME,1"
"BEHOLD VERILY VERILY,1"
"THE ENVY OF,1"
"AND SO SWIFT AND,1"
"AWAKE,6"
"AND NOW THE PEOPLE BEGAN,1"
"NOW WAS NOT,1"
"I COMMAND YOU TO BRING,1"
"DO NOT ANGER AGAIN BECAUSE,1"
"AND THOU SHALT BEAT,1"
"BUT I HAD,1"
"AND BEHOLD I NEPHI AM,1"
"FOR THE THINGS WHICH SOME,1"
"YEA THEY BEGAN TO,1"
"AND IT HATH BECOME EXPEDIENT,1"
"REJOICE O MY HEART,2"
"AND BEHOLD I DO,1"
"AS I,1"
"AND HOW MERCIFUL IS,1"
"THEN SAID I LORD,1"
"I CREATED THE,1"
"AND HE COMETH INTO,1"
"THEY ARE GONE,1"
"AND BEHOLD TO OUR GREAT,1"
"AND HE STRETCHED FORTH,1"
"BRING THEM HITHER,2"
"THEN SHALT THOU SAY,1"
"THE SALT,1"
"AND THEREFORE HE,2"
"AND BEHOLD THIS IS,3"
"AND BEHOLD I WITHSTOOD HIM,1"
"FOR IT COMETH TO,1"
"AND BEHOLD I AM,6"
"FOR THESE,1"
"MOREOVER THE LORD SPAKE,1"
"AND I LEHI,1"
"AND THE LAMANITES DID FLEE,1"
"BEHOLD THIS,9"
"FOR BEHOLD THEY REMEMBERED THAT,1"
"AND THE ESTABLISHMENT OF THE,1"
"WHO WILL RISE UP,1"
"FOR WERE IT NOT FOR,1"
"IF YOUR HIGHER,1"
"AND NOW WHEN MORONI HAD,1"
"O LORD THOU DIDST HEARKEN,1"
"BUT HE DID,2"
"AND AFTER HE HAD PREACHED,1"
"AND THEY HAVE COME UNTO,1"
"AND NOW LIMHI TOLD,1"
"AND THUS WERE WE FAVORED,1"
"AND THE LORD SAW,2"
"BUT IF YE WILL NOT,1"
"FOR THERE,3"
"I HAVE BEEN,1"
"AND NOTWITHSTANDING THE THREATENINGS AND,1"
"AN ABRIDGMENT TAKEN FROM,2"
"NAY YE,1"
"AND THEY SHALL GO,2"
"AND THEIR HEARTS,1"
"SANCTIFY THE LORD OF,1"
"AND THE JUDGE RECEIVED FOR,1"
"AND THUS ENDED THE TENTH,1"
"AND WE DID FOLLOW,1"
"WHEREFORE THE FRUIT,1"
"O LORD CANST THOU,1"
"BUT,419"
"AND BEHOLD THERE CANNOT,1"
"NEVERTHELESS NOTWITHSTANDING THE,1"
"AND THUS THE LAMANITES BEGAN,1"
"BEHOLD THOU,4"
"NEVERTHELESS THE CHILDREN,1"
"AND HE ANSWERED NAY LORD,1"
"AND BEHOLD THEY DID REPENT,1"
"AND THUS ENDETH THE,4"
"AND THEY SAW THAT,1"
"NOW THE NAME,3"
"NEVERTHELESS NOT MY WILL,1"
"FATHER,3"
"AND ALL HILLS,1"
"AND THE TWELVE DID TEACH,1"
"AND NOW MY SON SHIBLON,1"
"BUT NOW BEHOLD THEY ARE,1"
"AND THERE WERE ABOUT THREE,1"
"AND BECAUSE OF,13"
"AND JARED REBELLED,1"
"FOR SHALL THE WORK,1"
"YEA WO SHALL COME,1"
"AND IF THE TIME,1"
"O YE OUGHT TO,1"
"IF SO HIS,1"
"REMEMBER YE THE LAW,1"
"AND NOW WHEN NEPHI,1"
"YE SAY THAT THIS PEOPLE,2"
"THE LIGHT,1"
"AND NOW THIS I SPEAK,1"
"YEA THEY DID PERSECUTE THEM,1"
"FOR HE SHALL GROW UP,1"
"THEREFORE HE HAD ACCOMPLISHED,1"
"AND NOW KORIHOR,1"
"THEREFORE IT SHALL COME,1"
"THUS THEY WERE A,1"
"AND THAT,2"
"THY MEN SHALL FALL,1"
"AND HE LABORED DILIGENTLY,1"
"THE PROPHECY OF,2"
"AND THUS IT CAME TO,1"
"AND THE LAND WHICH WAS,1"
"THEREFORE O MY,1"
"AND BEHOLD THE TIME,2"
"AND HE HAD MANY WIVES,1"
"AND BY SO DOING THE,1"
"THEREFORE WILL THE,1"
"AND THE GENTILES ARE LIFTED,1"
"AND ONE OF,1"
"BEHOLD THAT,1"
"WHEREFORE THERE MUST BE FAITH,1"
"BEHOLD THIS HAVE I,1"
"THEIR WARS AND CONTENTIONS AND,1"
"NOW BEHOLD I,5"
"AND HIS HEART WAS MOVED,1"
"FOR I NEPHI WAS,1"
"AND LAMAN SAID UNTO,2"
"THUS HAD MORONI,1"
"AND NOW BEHOLD SAITH THE,1"
"AND UNDER,1"
"AND THE SCRIPTURES,1"
"AND THUS THEY SAW THAT,1"
"BUT THEY DID ESTABLISH VERY,1"
"AND THE SEVENTY AND SEVENTH,1"
"FOR BEHOLD MY BELOVED,1"
"MY SON BE FAITHFUL,1"
"HEARKEN UNTO ME MY,1"
"WO UNTO THE MIGHTY TO,1"
"BUT BEHOLD WE ARE,1"
"WHEREFORE IT MUST NEEDS HAVE,1"
"BRING YE ALL THE TITHES,1"
"NOW LEHI WAS,1"
"AND THE GENTILES,1"
"AND THUS GOD BREAKETH,1"
"NOW AMMORON THE KING OF,1"
"I WILL NOT,1"
"WHO CAN DENY HIS SAYINGS,1"
"AND WHEN JESUS,1"
"YEA I WILL VISIT THEM,1"
"AND SO TERRIBLE WAS,1"
"BEHOLD ARE YE,1"
"AND ALMA SAID IF,1"
"AND NOW MY BRETHREN WHAT,1"
"THEREFORE WE DID POUR OUT,1"
"AND BEHOLD THEY HAD,1"
"THEREFORE GIVE,1"
"AND WHOSOEVER OF THOSE,1"
"AND NOW KING MOSIAH,1"
"AND ALL THOSE WHO WERE,1"
"WHO COULD,1"
"AND IT SUFFICETH,1"
"THEREFORE MAY GOD,1"
"AND THEN,45"
"AND HE DID PLOT,1"
"AN ACCOUNT OF THE DEATH,1"
"WRITTEN AND SEALED UP AND,1"
"NOW BEHOLD O,1"
"WHEREFORE MAN COULD NOT,1"
'"NEPHI''S',2"
"AND THEY WOULD,2"
"BEHOLD THEY WILL CRUCIFY,1"
"AND I BEHELD THE CITY,1"
"NOW THE DAUGHTER OF,2"
"AND HE SAID SURELY,1"
"AND INASMUCH AS YE,1"
"NOW I MORONI WRITE SOMEWHAT,1"
"THEREFORE THOSE WHO,1"
"O HOW FOOLISH,1"
"AND THEY,243"
"O THE VAINNESS AND,1"
"AND AFTER THAT THEY HAD,1"
"THEREFORE IT IS EXPEDIENT THAT,1"
"AND HE ALSO UNFOLDED UNTO,1"
"BUT BEHOLD THE TIME COMETH,1"
"NOW IF A MAN MURDERETH,1"
"FOR BEHOLD THUS SAID JESUS,1"
"AND NOW I AMARON,1"
"AND AFTER THEY HAD TASTED,1"
"THEN SHALL YE RETURN,1"
"AND THEIR HATRED BECAME,1"
"AND HE ALSO SENT,1"
"AND WHEN I CAME TO,1"
"SEARCH THE,2"
"BECAUSE OF THEIR FAITH THEIR,1"
"THUS THERE BEGAN TO BE,1"
"AMEN AND NOW,21"
"BEHOLD THEY,7"
"THEIR BOWS SHALL ALSO,1"
"FOR HE PUT DOWN ALL,1"
"THEREFORE ALMA DID GO,1"
"AND AN AMNOR,1"
"USE BOLDNESS BUT NOT,1"
"AND NOT AT ANY,1"
"FOR I WILL SAITH,1"
"AND NOW BEHOLD I SHALL,1"
"AND THIS I DO THAT,1"
"AMEN THE SECOND,1"
"AND BECAUSE HE,4"
"O MY SON THIS,1"
"AND HE LAID,1"
"FOR THINE IS,1"
"WHO COULD HAVE SUPPOSED,1"
"NOW THESE THINGS,2"
"YEA THEY WERE,3"
"IN TITHES AND OFFERINGS,1"
"AND MY HEART,1"
"AND THUS WAS THE,1"
"OH THOUGHT I THAT I,1"
"FOR HE THAT DILIGENTLY,1"
"AND THUS THEY SATISFIED,1"
"HE RULETH HIGH IN,1"
"NOW ALMA SAID UNTO HIM,4"
"NOW THIS WAS ALARMING,1"
"DO WE NOT,2"
"AND BEHOLD I WITHSTOOD,1"
"THEREFORE I WOULD THAT YE,4"
"AND I ALSO CAST,1"
"FOR SHOULD,1"
"IF YE HAVE SUCH,1"
"AND KNOW,1"
"THEY COME TO,1"
"AND THUS COMETH ABOUT THE,1"
"AND HE THAT BELIEVETH,1"
"BEHOLD I AMALEKI WAS BORN,1"
"AND HE HAD GONE ABOUT,1"
"AND THIS,40"
"AND THUS HE WENT ON,1"
"AND AARON WAS A,1"
"O MY SONS I,1"
"YET AMMON AND,1"
"AND IF YE HAVE,1"
"AND NOW WHEN CORIANTUMR SAW,1"
"CAN,2"
"AND THE LAWS OF,1"
"BEHOLD HOW MANY THOUSANDS OF,1"
"BUT HE CONDEMNETH YOU,1"
"BEHOLD THAT GREAT CITY,1"
"AND ALL THAT FIGHT AGAINST,1"
"BEHOLD TWO,1"
"AND NOW THIS WAS A,1"
"NOW THEY DURST NOT TURN,1"
"BEHOLD MY PEOPLE HAVE NOT,1"
"YEA WILT THOU COMFORT THEIR,1"
"THEREFORE IF A SEED,1"
"AND HE READ SAYING,1"
"YEA WE SEE,2"
"WHEREFORE YE MAY ALSO,1"
"NOW FROM THIS STAND,1"
"NEVERTHELESS WE MAY CONSOLE OURSELVES,1"
"BEHOLD I SAY THEY ARE,1"
"NOW THE SONS,1"
"BUT WHY SHOULD,1"
"BUT BEHOLD MY BRETHREN IS,1"
"BUT JARED SAID,1"
"THEREFORE MY SONS,1"
"YEA BEHOLD AT HIS,1"
"AND THOU,8"
"YEA A,1"
"AND BEHOLD THEY WERE,3"
"NOW BEHOLD MY BRETHREN I,1"
"THEY ARE,4"
"NEVERTHELESS WHEN THAT DAY,1"
"NEPHI ALSO TESTIFIED OF,1"
"OH REMEMBER,1"
"YEA O,3"
"THIS SHALL YE,1"
"BUT IT IS,2"
"THEREFORE I COMMAND,1"
"AND NOW WHEN AARON HEARD,1"
"YEA I,18"
"AND THUS SATAN,1"
"THOU SHOULDST,1"
"NOW THE LAND OF,1"
"WHILE ON,1"
"AND MY BROTHER JACOB,1"
"AND HAVE YE FORGOTTEN SO,1"
"YEA HOW QUICK,1"
"FOR HE IS THE,1"
"I SAY UNTO THEE,1"
"A GOOD,1"
"AND LIB ALSO HIMSELF,1"
"HAVE YE ANY THAT ARE,2"
"THEN I SAY UNTO,1"
"AND HOW MERCIFUL,1"
"BUT I WAS RACKED WITH,1"
"AND WHEN YE SHALL,2"
"FOR THOSE WHO SHALL BE,1"
"AND THE SKINS OF THE,1"
"LET HIM COME NEAR ME,1"
"FOR THEY OF WHOM,1"
"AND AS THERE BEGAN TO,1"
"AND I AROSE AND STOOD,1"
"AND HE DID TEACH,1"
"AND HE SAID IF THERE,1"
"BUT BEHOLD AS I SAID,1"
"AND HE SAITH THESE,1"
"FOR I SAY UNTO,2"
"YEA MY BELOVED BRETHREN I,1"
"AND AGAIN HE SAITH IF,2"
"FOR YOUR HEAVENLY FATHER,1"
"THE SCRIPTURES ARE LAID BEFORE,1"
"AND IN THE STRENGTH OF,1"
"WILL YE SAY THAT THE,1"
"FOR BEHOLD THE LANGUAGE WHICH,1"
"AND BLESSED ART THOU,3"
"AND HAD THEY BEEN THE,1"
"AND THEY BEGAN TO GROW,2"
"THEREFORE ASK AND YE,1"
"NEVERTHELESS IT CAME TO PASS,1"
"THEREFORE O LORD THOU,1"
"FOR THIS CAUSE,1"
"THY HAND,1"
"DO NOT SAY THAT,1"
"AND THEY DID WORK ALL,2"
"NOW THE AMLICITES KNEW,1"
"AND WHERE,2"
"AND WE SUPPOSE,2"
"WHO WILL DESPISE THE CHILDREN,1"
"AND I AM THE SAME,1"
"AND I WRITE ALSO,1"
"AND NOW ALMA WAS,1"
"AND KING LAMONI SAID IS,1"
"AND THIS IS THE MANNER,1"
"FOR BEHOLD I AM GOD,1"
"AND NOW O MY SON,2"
"AND HE RETURNED,1"
"BREAK FORTH INTO JOY SING,2"
"TURN YE TURN,1"
"BEHOLD I KNOW THE PLACE,1"
"BUT BEHOLD THE POWER,1"
"AND BEHOLD THIS LAST,1"
"AND A SHIBLUM IS,1"
"NOW THERE ARE SOME THAT,1"
"AND SETH,1"
"BEHOLD DAVID AND SOLOMON,1"
"YEA AND THEY DID KEEP,1"
"AND THEY GRANTED UNTO THOSE,1"
"AND THUS PROPHESIED,1"
"FOR AS SURE,1"
"BEHOLD HERE IS THE,1"
"AND IT IS THOSE WHO,1"
"BEHOLD THOU KNOWEST,1"
"NEVERTHELESS THERE WAS,1"
"WHEREFORE HE WILL,3"
"FOR BEHOLD THUS SAID,1"
"AND AFTER THEY HAD GIVEN,1"
"YEA WELL DOTH,1"
"DO NOT SUPPOSE,1"
"AND NOW THE KING,4"
"AND SHEZ WAS THE,1"
"WHEREFORE BRETHREN,1"
"AND THESE GADIANTON ROBBERS WHO,1"
"ART THOU CUT DOWN,1"
"AND HE HAD SWORN,1"
"NOW WHEN LAMONI,1"
"FOR YET A,1"
"NOW MORONI,8"
"BEHOLD YE ARE,1"
"O LORD WILT THOU NOT,1"
"NOW THIS WAS THE CAUSE,1"
"AND AN AMNOR OF SILVER,1"
"AND MUCH,1"
"OLD THINGS ARE,1"
"AND THUS,193"
"NOW THIS MAN WENT OVER,1"
"I AM GIDDIANHI AND NOW,1"
"AND CORIHOR,1"
"AND I WAS ABOUT,1"
"NOW THEREFORE I WOULD,1"
"AND THIS DEATH OF,1"
"AND NOW ARE,1"
"THEN I,3"
"AND MAY GOD GRANT IN,1"
"WE WOULD,3"
"AND HETH,2"
"FEAR NOT FOR,1"
"WHEREFORE YE NEED NOT,1"
"BUT IF IT,1"
"AND NOW WHAT SAY,1"
"THEREFORE I MORMON DO,1"
"AND BABYLON THE GLORY,1"
"KNOW YE NOT MY SON,1"
"OH MY SOUL,1"
"THUS THE WORD OF GOD,1"
"AND NOW REMEMBER MY SON,2"
"THERE IS NOTHING,1"
"AND YE SHALL,7"
"FOR AMULON KNEW ALMA THAT,1"
"NEITHER WILL HE SUFFER THAT,1"
"BUT BEHOLD THE RESURRECTION OF,1"
"WILL YE REJECT,1"
"A CITY THAT IS,1"
"AND NOW BEHOLD I MORMON,1"
"AND ALL THEY WHO SHALL,1"
"EVEN SO EVERY,1"
"AND YE SHALL ALSO FORGIVE,1"
"AND HE TOOK THE,1"
"AND NOW AMULEK BECAUSE THOU,1"
"THEREFORE AS I SAID,1"
"BIND UP THE TESTIMONY,1"
"NOW THE SPIRIT,1"
"THE SALT SHALL BE,1"
"YEA HOW QUICK TO,1"
"THE LORD STANDETH UP TO,1"
"AND THE AMLICITES DID CONTEND,1"
"AND IT IS BY FAITH,1"
"AND THUS MERCY CAN SATISFY,1"
"NEVERTHELESS THE LORD GOD,1"
"YEA AND HE WAS,1"
"AND IF YE,12"
"FOR BEHOLD PAHORAN,1"
"HOW COULD THERE,1"
"FOR NO MAN CAN,2"
"THOU SAIDST,1"
"THOU SHOULDST HAVE TENDED TO,1"
"AND CURSED SHALL,1"
"WHEREFORE THESE THINGS SHALL GO,1"
"WHEREFORE IF GOD BEING,1"
"BUT SAID,1"
"AND ANGELS DID,1"
"BUT IF HE,2"
"AND THUS ENDED ALSO THE,1"
"O HOUSE OF ISRAEL,1"
"AMEN AND,24"
"AND NOW ALL,5"
"AND ALSO WE SHALL PERISH,1"
"THUS GOD EXECUTETH VENGEANCE,1"
"WHEREFORE THESE THINGS SHALL,1"
"AND NOW WHAT EVIDENCE,1"
"AND THE NEPHITES WERE CONTINUALLY,1"
'"AND THEY WERE CALLED GADIANTON''S',1"
"THEREFORE OUGHT YE NOT TO,1"
"FOR ALL,5"
"OH REMEMBER AND,1"
"AND THUS THEY DID ENCAMP,1"
"CRY,5"
"FOR BEHOLD THE LORD HAD,1"
"NOW THIS GREAT EVIL,1"
"THEREFORE WHO WONDERETH THAT THEY,1"
"FOR BEHOLD AS I INQUIRED,1"
"BUT BEHOLD AMALICKIAH DID,1"
"AND NOW WHEN AMMON HAD,1"
"THEREFORE CHOOSE YOU BY THE,1"
"AND I NEPHI DID TAKE,1"
"AND NOW THEY SAID WE,1"
"ALL YE ASSEMBLE,1"
"THE CHILDREN,1"
"WHEREFORE THE JEWS SHALL BE,1"
"AND NOW WHEN ALMA,2"
"BUT BEHOLD WE ARE NOT,1"
"BEHOLD I ANSWER FOR,1"
"FOR BEHOLD THE LORD HAS,1"
"AND BEHOLD THIS IS THE,2"
"YEA I DID,1"
"YEA AND MOREOVER I,1"
'"NEPHI''S BRETHREN REBEL AGAINST HIM',2"
"AND WO UNTO HIM,1"
"FOR HOW KNOWETH A MAN,1"
"BEHOLD I AM JESUS,2"
"AND NOTWITHSTANDING THE MANY,1"
"THEREFORE WHOSO,2"
"AND GOD DID HEAR OUR,1"
"YEA WO UNTO THIS GREAT,1"
"REMEMBER THAT HIS PATHS,1"
"AND BEHOLD MORONI HAD APPOINTED,1"
"NOW KING MOSIAH HAD GIVEN,1"
"THUS SAITH THE LORD IN,1"
"NEVERTHELESS THEY DID FAST,1"
"NEVERTHELESS I WILL BRING YOU,1"
"YEA EXCEPT,1"
"NEVERTHELESS WE MAY CONSOLE,1"
"AND THE FIRST FRUITS OF,1"
"AND GOLD AND SILVER DID,1"
"BEHOLD ALL YE THAT KINDLE,1"
"AND NOW SEEING,1"
"HE TAKETH THREE,1"
"AND AMMON WENT TO THE,1"
"YET I,2"
"NEVERTHELESS THEY DID,3"
"VERILY I SAY UNTO,9"
"AND IN THE FIFTY,2"
"NEVERTHELESS THESE,1"
"AND NOW THE CAUSE OF,1"
"AND THUS SATAN DID,1"
"NOW THIS HE DID,1"
"NOW BEHOLD MY SON,1"
"BUT AS I HAVE,1"
"AND NOW BEHOLD SAITH,1"
"BEHOLD I WAS,3"
"AND WHEN THEY HAD GIVEN,1"
"AND GIDEON,2"
"BUT OUR LABORS,1"
"HE DOETH NOT ANYTHING,1"
"AND THEY WERE IN NUMBER,1"
"BUT WO UNTO,3"
"FOR YE SHALL NOT,1"
"AND THEY WENT AND,2"
"AND IT IS,7"
"WILL YE SAY THAT,1"
"THOU MAYEST SPEAK,1"
"NEVERTHELESS THE NEPHITES WERE,1"
"BUT BEHOLD MY BRETHREN YE,1"
"AND THIS IS WHAT,1"
"AND THE MULTITUDE HEARD,1"
"MY GOD HATH BEEN MY,1"
"FOR SHOULD THE MIGHTY MIRACLES,1"
"WHEREFORE THE THINGS WHICH I,1"
"O THE WISE AND THE,1"
"NOW WHEN HE HEARD THAT,1"
"YEA THIS BRINGETH ABOUT THE,1"
"AND AFTER I HAD,4"
"HAVE YE,8"
"AND THUS THEY MIGHT,2"
"THOU ART BLESSED BECAUSE OF,1"
"AND KISH WAS,1"
"FOR BEHOLD HAD THE MIGHTY,1"
"THUS THE,4"
"BEHOLD I HAD LED,1"
"AND THIS CITY BECAME AN,1"
"YEA WILT THOU,1"
"FOR ARE,1"
"NEVERTHELESS THERE,3"
"O REPENT YE,1"
"AND AS AMMON,1"
"NOW BEHOLD THESE,1"
"AND IT DID,1"
"AND WHOSOEVER DOETH THIS AND,1"
"NEVERTHELESS AFTER WADING THROUGH MUCH,1"
"AND HELAMAN DIED IN,1"
"AND NOW BEHOLD WE DID,1"
"FINALLY I BID YOU,1"
"AND AMONG THE LAMANITES,1"
"BEHOLD THOUSANDS OF THEM DO,1"
"AND NOW MY SON,25"
"AND THERE SHALL COME,1"
"BUT BEHOLD THERE WERE,2"
"NOW BEHOLD THERE,2"
"WHEREFORE THESE THINGS,2"
"I ALSO HAVE,1"
"AND MANY SUCH THINGS DID,1"
"AND WE RETAINED OUR,1"
"AND HE RAISETH,1"
"WO UNTO THE MURDERER WHO,1"
"ANGELS SPEAK BY THE,1"
