| TokenID         | Word Value      | Speaker         | Scribe          | VerseID         | 
| 86              | him             |                 |                 | 3               | 
| 87              | the             |                 |                 | 3               | 
| 88              | things          |                 |                 | 3               | 
| 89              | which           |                 |                 | 3               | 
| 90              | the             |                 |                 | 3               | 
| 91              | Lord            |                 |                 | 3               | 
| 92              | had             |                 |                 | 3               | 
| 93              | manifested      |                 |                 | 3               | 
| 94              | unto            |                 |                 | 3               | 
| 95              | me              |                 |                 | 3               | 
| 96              | by              |                 |                 | 3               | 
| 97              | his             |                 |                 | 3               | 
| 98              | Holy            |                 |                 | 3               | 
| 99              | Spirit          |                 |                 | 3               | 
| 100             | And             |                 |                 | 3               | 
| 101             | it              |                 |                 | 3               | 
| 102             | came            |                 |                 | 3               | 
| 103             | to              |                 |                 | 3               | 
| 104             | pass            |                 |                 | 3               | 
| 105             | that            |                 |                 | 3               | 
| 106             | he              |                 |                 | 3               | 
| 107             | believed        |                 |                 | 3               | 
| 108             | in              |                 |                 | 3               | 
| 109             | my              |                 |                 | 3               | 
| 110             | words           |                 |                 | 3               | 
| 111             | But             |                 |                 | 4               | 
| 112             | behold          |                 |                 | 4               | 
| 113             | Laman           |                 |                 | 4               | 
| 114             | and             |                 |                 | 4               | 
| 115             | Lemuel          |                 |                 | 4               | 
| 116             | would           |                 |                 | 4               | 
| 117             | not             |                 |                 | 4               | 
| 118             | hearken         |                 |                 | 4               | 
| 119             | unto            |                 |                 | 4               | 
| 120             | my              |                 |                 | 4               | 
| 121             | words           |                 |                 | 4               | 
| 122             | and             |                 |                 | 4               | 
| 123             | being           |                 |                 | 4               | 
| 124             | grieved         |                 |                 | 4               | 
| 125             | because         |                 |                 | 4               | 
| 126             | of              |                 |                 | 4               | 
| 127             | the             |                 |                 | 4               | 
| 128             | hardness        |                 |                 | 4               | 
| 129             | of              |                 |                 | 4               | 
| 130             | their           |                 |                 | 4               | 
| 131             | hearts          |                 |                 | 4               | 
| 132             | I               |                 |                 | 4               | 
| 133             | cried           |                 |                 | 4               | 
| 134             | unto            |                 |                 | 4               | 
| 135             | the             |                 |                 | 4               | 
| 136             | Lord            |                 |                 | 4               | 
| 137             | for             |                 |                 | 4               | 
| 138             | them            |                 |                 | 4               | 
| 139             | And             |                 |                 | 5               | 
| 140             | it              |                 |                 | 5               | 
| 141             | came            |                 |                 | 5               | 
| 142             | to              |                 |                 | 5               | 
| 143             | pass            |                 |                 | 5               | 
| 144             | that            |                 |                 | 5               | 
| 145             | the             |                 |                 | 5               | 
| 146             | Lord            |                 |                 | 5               | 
| 147             | spake           |                 |                 | 5               | 
| 148             | unto            |                 |                 | 5               | 
| 149             | me              |                 |                 | 5               | 
| 150             | saying          |                 |                 | 5               | 
| 151             | Blessed         | Godhead         |                 | 5               | 
| 152             | art             | Godhead         |                 | 5               | 
| 153             | thou            | Godhead         |                 | 5               | 
| 154             | Nephi           | Godhead         |                 | 5               | 
| 155             | because         | Godhead         |                 | 5               | 
| 156             | of              | Godhead         |                 | 5               | 
| 157             | thy             | Godhead         |                 | 5               | 
| 158             | faith           | Godhead         |                 | 5               | 
| 159             | for             | Godhead         |                 | 5               | 
| 160             | thou            | Godhead         |                 | 5               | 
| 161             | hast            | Godhead         |                 | 5               | 
| 162             | sought          | Godhead         |                 | 5               | 
| 163             | me              | Godhead         |                 | 5               | 
| 164             | diligently      | Godhead         |                 | 5               | 
| 165             | with            | Godhead         |                 | 5               | 
| 166             | lowliness       | Godhead         |                 | 5               | 
| 167             | of              | Godhead         |                 | 5               | 
| 168             | heart           | Godhead         |                 | 5               | 
| 169             | And             | Godhead         |                 | 6               | 
| 170             | inasmuch        | Godhead         |                 | 6               | 
| 171             | as              | Godhead         |                 | 6               | 
| 172             | ye              | Godhead         |                 | 6               | 
| 173             | shall           | Godhead         |                 | 6               | 
| 174             | keep            | Godhead         |                 | 6               | 
| 175             | my              | Godhead         |                 | 6               | 
| 176             | commandments    | Godhead         |                 | 6               | 
| 177             | ye              | Godhead         |                 | 6               | 
| 178             | shall           | Godhead         |                 | 6               | 
| 179             | prosper         | Godhead         |                 | 6               | 
| 180             | and             | Godhead         |                 | 6               | 
| 181             | shall           | Godhead         |                 | 6               | 
| 182             | be              | Godhead         |                 | 6               | 
| 183             | led             | Godhead         |                 | 6               | 
| 184             | to              | Godhead         |                 | 6               | 
| 185             | a               | Godhead         |                 | 6               | 
| 186             | land            | Godhead         |                 | 6               | 
| 187             | of              | Godhead         |                 | 6               | 
| 188             | promise         | Godhead         |                 | 6               | 
| 189             | yea             | Godhead         |                 | 6               | 
| 190             | even            | Godhead         |                 | 6               | 
| 191             | a               | Godhead         |                 | 6               | 
| 192             | land            | Godhead         |                 | 6               | 
| 193             | which           | Godhead         |                 | 6               | 
| 194             | I               | Godhead         |                 | 6               | 
| 195             | have            | Godhead         |                 | 6               | 
| 196             | prepared        | Godhead         |                 | 6               | 
| 197             | for             | Godhead         |                 | 6               | 
| 198             | you             | Godhead         |                 | 6               | 
| 199             | yea             | Godhead         |                 | 6               | 
| 200             | a               | Godhead         |                 | 6               | 
| 201             | land            | Godhead         |                 | 6               | 
| 202             | which           | Godhead         |                 | 6               | 
| 203             | is              | Godhead         |                 | 6               | 
| 204             | choice          | Godhead         |                 | 6               | 
| 205             | above           | Godhead         |                 | 6               | 
| 206             | all             | Godhead         |                 | 6               | 
| 207             | other           | Godhead         |                 | 6               | 
| 208             | lands           | Godhead         |                 | 6               | 
| 209             | And             | Godhead         |                 | 7               | 
| 210             | inasmuch        | Godhead         |                 | 7               | 
| 211             | as              | Godhead         |                 | 7               | 
| 212             | thy             | Godhead         |                 | 7               | 
| 213             | brethren        | Godhead         |                 | 7               | 
| 214             | shall           | Godhead         |                 | 7               | 
| 215             | rebel           | Godhead         |                 | 7               | 
| 216             | against         | Godhead         |                 | 7               | 
| 217             | thee            | Godhead         |                 | 7               | 
| 218             | they            | Godhead         |                 | 7               | 
| 219             | shall           | Godhead         |                 | 7               | 
| 220             | be              | Godhead         |                 | 7               | 
| 221             | cut             | Godhead         |                 | 7               | 
| 222             | off             | Godhead         |                 | 7               | 
| 223             | from            | Godhead         |                 | 7               | 
| 224             | the             | Godhead         |                 | 7               | 
| 225             | presence        | Godhead         |                 | 7               | 
| 226             | of              | Godhead         |                 | 7               | 
| 227             | the             | Godhead         |                 | 7               | 
| 228             | Lord            | Godhead         |                 | 7               | 
| 229             | And             | Godhead         |                 | 8               | 
| 230             | inasmuch        | Godhead         |                 | 8               | 
| 231             | as              | Godhead         |                 | 8               | 
| 232             | thou            | Godhead         |                 | 8               | 
| 233             | shalt           | Godhead         |                 | 8               | 
| 234             | keep            | Godhead         |                 | 8               | 
| 235             | my              | Godhead         |                 | 8               | 
| 236             | commandments    | Godhead         |                 | 8               | 
| 237             | thou            | Godhead         |                 | 8               | 
| 238             | shalt           | Godhead         |                 | 8               | 
| 239             | be              | Godhead         |                 | 8               | 
| 240             | made            | Godhead         |                 | 8               | 
| 241             | a               | Godhead         |                 | 8               | 
| 242             | ruler           | Godhead         |                 | 8               | 
| 243             | and             | Godhead         |                 | 8               | 
| 244             | a               | Godhead         |                 | 8               | 
| 245             | teacher         | Godhead         |                 | 8               | 
| 246             | over            | Godhead         |                 | 8               | 
| 247             | thy             | Godhead         |                 | 8               | 
| 248             | brethren        | Godhead         |                 | 8               | 
| 249             | For             | Godhead         |                 | 9               | 
| 250             | behold          | Godhead         |                 | 9               | 
| 251             | in              | Godhead         |                 | 9               | 
| 252             | that            | Godhead         |                 | 9               | 
| 253             | day             | Godhead         |                 | 9               | 
| 254             | that            | Godhead         |                 | 9               | 
| 255             | they            | Godhead         |                 | 9               | 
| 256             | shall           | Godhead         |                 | 9               | 
| 257             | rebel           | Godhead         |                 | 9               | 
| 258             | against         | Godhead         |                 | 9               | 
| 259             | me              | Godhead         |                 | 9               | 
| 260             | I               | Godhead         |                 | 9               | 
| 261             | will            | Godhead         |                 | 9               | 
| 262             | curse           | Godhead         |                 | 9               | 
| 263             | them            | Godhead         |                 | 9               | 
| 264             | even            | Godhead         |                 | 9               | 
| 265             | with            | Godhead         |                 | 9               | 
| 266             | a               | Godhead         |                 | 9               | 
| 267             | sore            | Godhead         |                 | 9               | 
| 268             | curse           | Godhead         |                 | 9               | 
| 269             | and             | Godhead         |                 | 9               | 
| 270             | they            | Godhead         |                 | 9               | 
| 271             | shall           | Godhead         |                 | 9               | 
| 272             | have            | Godhead         |                 | 9               | 
| 273             | no              | Godhead         |                 | 9               | 
| 274             | power           | Godhead         |                 | 9               | 
| 275             | over            | Godhead         |                 | 9               | 
| 276             | thy             | Godhead         |                 | 9               | 
| 277             | seed            | Godhead         |                 | 9               | 
| 278             | except          | Godhead         |                 | 9               | 
| 279             | they            | Godhead         |                 | 9               | 
| 280             | shall           | Godhead         |                 | 9               | 
| 281             | rebel           | Godhead         |                 | 9               | 
| 282             | against         | Godhead         |                 | 9               | 
| 283             | me              | Godhead         |                 | 9               | 
| 284             | also            | Godhead         |                 | 9               | 
| 285             | And             | Godhead         |                 | 10              | 
| 286             | if              | Godhead         |                 | 10              | 
| 287             | it              | Godhead         |                 | 10              | 
| 288             | so              | Godhead         |                 | 10              | 
| 289             | be              | Godhead         |                 | 10              | 
| 290             | that            | Godhead         |                 | 10              | 
| 291             | they            | Godhead         |                 | 10              | 
| 292             | rebel           | Godhead         |                 | 10              | 
| 293             | against         | Godhead         |                 | 10              | 
| 294             | me              | Godhead         |                 | 10              | 
| 295             | they            | Godhead         |                 | 10              | 
| 296             | shall           | Godhead         |                 | 10              | 
| 297             | be              | Godhead         |                 | 10              | 
| 298             | a               | Godhead         |                 | 10              | 
| 299             | scourge         | Godhead         |                 | 10              | 
| 300             | unto            | Godhead         |                 | 10              | 
| 301             | thy             | Godhead         |                 | 10              | 
| 302             | seed            | Godhead         |                 | 10              | 
| 303             | to              | Godhead         |                 | 10              | 
| 304             | stir            | Godhead         |                 | 10              | 
| 305             | them            | Godhead         |                 | 10              | 
| 306             | up              | Godhead         |                 | 10              | 
| 307             | in              | Godhead         |                 | 10              | 
| 308             | the             | Godhead         |                 | 10              | 
| 309             | ways            | Godhead         |                 | 10              | 
| 310             | of              | Godhead         |                 | 10              | 
| 311             | remembrance     | Godhead         |                 | 10              | 
| 312             | And             | Nephi 1         |                 | 11              | 
| 313             | it              | Nephi 1         |                 | 11              | 
| 314             | came            | Nephi 1         |                 | 11              | 
| 315             | to              | Nephi 1         |                 | 11              | 
| 316             | pass            | Nephi 1         |                 | 11              | 
| 317             | that            | Nephi 1         |                 | 11              | 
| 318             | I               | Nephi 1         |                 | 11              | 
| 319             | Nephi           | Nephi 1         |                 | 11              | 
| 320             | returned        | Nephi 1         |                 | 11              | 
| 321             | from            | Nephi 1         |                 | 11              | 
| 322             | speaking        | Nephi 1         |                 | 11              | 
| 323             | with            | Nephi 1         |                 | 11              | 
| 324             | the             | Nephi 1         |                 | 11              | 
| 325             | Lord            | Nephi 1         |                 | 11              | 
| 326             | to              | Nephi 1         |                 | 11              | 
| 327             | the             | Nephi 1         |                 | 11              | 
| 328             | tent            | Nephi 1         |                 | 11              | 
| 329             | of              | Nephi 1         |                 | 11              | 
| 330             | my              | Nephi 1         |                 | 11              | 
| 331             | father          | Nephi 1         |                 | 11              | 
| 332             | And             | Nephi 1         |                 | 12              | 
| 333             | it              | Nephi 1         |                 | 12              | 
| 334             | came            | Nephi 1         |                 | 12              | 
| 335             | to              | Nephi 1         |                 | 12              | 
| 336             | pass            | Nephi 1         |                 | 12              | 
| 337             | that            | Nephi 1         |                 | 12              | 
| 338             | he              | Nephi 1         |                 | 12              | 
| 339             | spake           | Nephi 1         |                 | 12              | 
| 340             | unto            | Nephi 1         |                 | 12              | 
| 341             | me              | Nephi 1         |                 | 12              | 
| 342             | saying          | Nephi 1         |                 | 12              | 
| 343             | Behold          | Lehi            |                 | 12              | 
| 344             | I               | Lehi            |                 | 12              | 
| 345             | have            | Lehi            |                 | 12              | 
| 346             | dreamed         | Lehi            |                 | 12              | 
| 347             | a               | Lehi            |                 | 12              | 
| 348             | dream           | Lehi            |                 | 12              | 
| 349             | in              | Lehi            |                 | 12              | 
| 350             | the             | Lehi            |                 | 12              | 
| 351             | which           | Lehi            |                 | 12              | 
| 352             | the             | Lehi            |                 | 12              | 
| 353             | Lord            | Lehi            |                 | 12              | 
| 354             | hath            | Lehi            |                 | 12              | 
| 355             | commanded       | Lehi            |                 | 12              | 
| 356             | me              | Lehi            |                 | 12              | 
| 357             | that            | Lehi            |                 | 12              | 
| 358             | thou            | Lehi            |                 | 12              | 
| 359             | and             | Lehi            |                 | 12              | 
| 360             | thy             | Lehi            |                 | 12              | 
| 361             | brethren        | Lehi            |                 | 12              | 
| 362             | shall           | Lehi            |                 | 12              | 
| 363             | return          | Lehi            |                 | 12              | 
| 364             | to              | Lehi            |                 | 12              | 
| 365             | Jerusalem       | Lehi            |                 | 12              | 
| 366             | For             | Lehi            |                 | 13              | 
| 367             | behold          | Lehi            |                 | 13              | 
| 368             | Laban           | Lehi            |                 | 13              | 
| 369             | hath            | Lehi            |                 | 13              | 
| 370             | the             | Lehi            |                 | 13              | 
| 371             | record          | Lehi            |                 | 13              | 
| 372             | of              | Lehi            |                 | 13              | 
| 373             | the             | Lehi            |                 | 13              | 
| 374             | Jews            | Lehi            |                 | 13              | 
| 375             | and             | Lehi            |                 | 13              | 
| 376             | also            | Lehi            |                 | 13              | 
| 377             | a               | Lehi            |                 | 13              | 
| 378             | genealogy       | Lehi            |                 | 13              | 
| 379             | of              | Lehi            |                 | 13              | 
| 380             | my              | Lehi            |                 | 13              | 
| 381             | forefathers     | Lehi            |                 | 13              | 
| 382             | and             | Lehi            |                 | 13              | 
| 383             | they            | Lehi            |                 | 13              | 
| 384             | are             | Lehi            |                 | 13              | 
| 385             | engraven        | Lehi            |                 | 13              | 
| 386             | upon            | Lehi            |                 | 13              | 
| 387             | plates          | Lehi            |                 | 13              | 
| 388             | of              | Lehi            |                 | 13              | 
| 389             | brass           | Lehi            |                 | 13              | 
| 390             | Wherefore       | Lehi            |                 | 14              | 
| 391             | the             | Lehi            |                 | 14              | 
| 392             | Lord            | Lehi            |                 | 14              | 
| 393             | hath            | Lehi            |                 | 14              | 
| 394             | commanded       | Lehi            |                 | 14              | 
| 395             | me              | Lehi            |                 | 14              | 
| 396             | that            | Lehi            |                 | 14              | 
| 397             | thou            | Lehi            |                 | 14              | 
| 398             | and             | Lehi            |                 | 14              | 
| 399             | thy             | Lehi            |                 | 14              | 
| 400             | brothers        | Lehi            |                 | 14              | 
| 401             | should          | Lehi            |                 | 14              | 
| 402             | go              | Lehi            |                 | 14              | 
| 403             | unto            | Lehi            |                 | 14              | 
| 404             | the             | Lehi            |                 | 14              | 
| 405             | house           | Lehi            |                 | 14              | 
| 406             | of              | Lehi            |                 | 14              | 
| 407             | Laban           | Lehi            |                 | 14              | 
| 408             | and             | Lehi            |                 | 14              | 
| 409             | seek            | Lehi            |                 | 14              | 
| 410             | the             | Lehi            |                 | 14              | 
| 411             | records         | Lehi            |                 | 14              | 
| 412             | and             | Lehi            |                 | 14              | 
| 413             | bring           | Lehi            |                 | 14              | 
| 414             | them            | Lehi            |                 | 14              | 
| 415             | down            | Lehi            |                 | 14              | 
| 416             | hither          | Lehi            |                 | 14              | 
| 417             | into            | Lehi            |                 | 14              | 
| 418             | the             | Lehi            |                 | 14              | 
| 419             | wilderness      | Lehi            |                 | 14              | 
| 420             | And             | Lehi            |                 | 15              | 
| 421             | now             | Lehi            |                 | 15              | 
| 422             | behold          | Lehi            |                 | 15              | 
| 423             | thy             | Lehi            |                 | 15              | 
| 424             | brothers        | Lehi            |                 | 15              | 
| 425             | murmur          | Lehi            |                 | 15              | 
| 426             | saying          | Lehi            |                 | 15              | 
| 427             | it              | Lehi            |                 | 15              | 
| 428             | is              | Lehi            |                 | 15              | 
| 429             | a               | Lehi            |                 | 15              | 
| 430             | hard            | Lehi            |                 | 15              | 
| 431             | thing           | Lehi            |                 | 15              | 
| 432             | which           | Lehi            |                 | 15              | 
| 433             | I               | Lehi            |                 | 15              | 
| 434             | have            | Lehi            |                 | 15              | 
| 435             | required        | Lehi            |                 | 15              | 
| 436             | of              | Lehi            |                 | 15              | 
| 437             | them            | Lehi            |                 | 15              | 
| 438             | but             | Lehi            |                 | 15              | 
| 439             | behold          | Lehi            |                 | 15              | 
| 440             | I               | Lehi            |                 | 15              | 
| 441             | have            | Lehi            |                 | 15              | 
| 442             | not             | Lehi            |                 | 15              | 
| 443             | required        | Lehi            |                 | 15              | 
| 444             | it              | Lehi            |                 | 15              | 
| 445             | of              | Lehi            |                 | 15              | 
| 446             | them            | Lehi            |                 | 15              | 
| 447             | but             | Lehi            |                 | 15              | 
| 448             | it              | Lehi            |                 | 15              | 
| 449             | is              | Lehi            |                 | 15              | 
| 450             | a               | Lehi            |                 | 15              | 
| 451             | commandment     | Lehi            |                 | 15              | 
| 452             | of              | Lehi            |                 | 15              | 
| 453             | the             | Lehi            |                 | 15              | 
| 454             | Lord            | Lehi            |                 | 15              | 
| 455             | Therefore       | Lehi            |                 | 16              | 
| 456             | go              | Lehi            |                 | 16              | 
| 457             | my              | Lehi            |                 | 16              | 
| 458             | son             | Lehi            |                 | 16              | 
| 459             | and             | Lehi            |                 | 16              | 
| 460             | thou            | Lehi            |                 | 16              | 
| 461             | shalt           | Lehi            |                 | 16              | 
| 462             | be              | Lehi            |                 | 16              | 
| 463             | favored         | Lehi            |                 | 16              | 
| 464             | of              | Lehi            |                 | 16              | 
| 465             | the             | Lehi            |                 | 16              | 
| 466             | Lord            | Lehi            |                 | 16              | 
| 467             | because         | Lehi            |                 | 16              | 
| 468             | thou            | Lehi            |                 | 16              | 
| 469             | hast            | Lehi            |                 | 16              | 
| 470             | not             | Lehi            |                 | 16              | 
| 471             | murmured        | Lehi            |                 | 16              | 
| 472             | And             | Nephi 1         |                 | 17              | 
| 473             | it              | Nephi 1         |                 | 17              | 
| 474             | came            | Nephi 1         |                 | 17              | 
| 475             | to              | Nephi 1         |                 | 17              | 
| 476             | pass            | Nephi 1         |                 | 17              | 
| 477             | that            | Nephi 1         |                 | 17              | 
| 478             | I               | Nephi 1         |                 | 17              | 
| 479             | Nephi           | Nephi 1         |                 | 17              | 
| 480             | said            | Nephi 1         |                 | 17              | 
| 481             | unto            | Nephi 1         |                 | 17              | 
| 482             | my              | Nephi 1         |                 | 17              | 
| 483             | father          | Nephi 1         |                 | 17              | 
| 484             | I               | Nephi 1         |                 | 17              | 
| 485             | will            | Nephi 1         |                 | 17              | 
| 486             | go              | Nephi 1         |                 | 17              | 
| 487             | and             | Nephi 1         |                 | 17              | 
| 488             | do              | Nephi 1         |                 | 17              | 
| 489             | the             | Nephi 1         |                 | 17              | 
| 490             | things          | Nephi 1         |                 | 17              | 
| 491             | which           | Nephi 1         |                 | 17              | 
| 492             | the             | Nephi 1         |                 | 17              | 
| 493             | Lord            | Nephi 1         |                 | 17              | 
| 494             | hath            | Nephi 1         |                 | 17              | 
| 495             | commanded       | Nephi 1         |                 | 17              | 
| 496             | for             | Nephi 1         |                 | 17              | 
| 497             | I               | Nephi 1         |                 | 17              | 
| 498             | know            | Nephi 1         |                 | 17              | 
| 499             | that            | Nephi 1         |                 | 17              | 
| 500             | the             | Nephi 1         |                 | 17              | 
| 501             | Lord            | Nephi 1         |                 | 17              | 
| 502             | giveth          | Nephi 1         |                 | 17              | 
| 503             | no              | Nephi 1         |                 | 17              | 
| 504             | commandments    | Nephi 1         |                 | 17              | 
| 505             | unto            | Nephi 1         |                 | 17              | 
| 506             | the             | Nephi 1         |                 | 17              | 
| 507             | children        | Nephi 1         |                 | 17              | 
| 508             | of              | Nephi 1         |                 | 17              | 
| 509             | men             | Nephi 1         |                 | 17              | 
| 510             | save            | Nephi 1         |                 | 17              | 
| 511             | he              | Nephi 1         |                 | 17              | 
| 512             | shall           | Nephi 1         |                 | 17              | 
| 513             | prepare         | Nephi 1         |                 | 17              | 
| 514             | a               | Nephi 1         |                 | 17              | 
| 515             | way             | Nephi 1         |                 | 17              | 
| 516             | for             | Nephi 1         |                 | 17              | 
| 517             | them            | Nephi 1         |                 | 17              | 
| 518             | that            | Nephi 1         |                 | 17              | 
| 519             | they            | Nephi 1         |                 | 17              | 
| 520             | may             | Nephi 1         |                 | 17              | 
| 521             | accomplish      | Nephi 1         |                 | 17              | 
| 522             | the             | Nephi 1         |                 | 17              | 
| 523             | thing           | Nephi 1         |                 | 17              | 
| 524             | which           | Nephi 1         |                 | 17              | 
| 525             | he              | Nephi 1         |                 | 17              | 
| 526             | commandeth      | Nephi 1         |                 | 17              | 
| 527             | them            | Nephi 1         |                 | 17              | 
| 528             | And             | Nephi 1         |                 | 18              | 
| 529             | it              | Nephi 1         |                 | 18              | 
| 530             | came            | Nephi 1         |                 | 18              | 
| 531             | to              | Nephi 1         |                 | 18              | 
| 532             | pass            | Nephi 1         |                 | 18              | 
| 533             | that            | Nephi 1         |                 | 18              | 
| 534             | when            | Nephi 1         |                 | 18              | 
| 535             | my              | Nephi 1         |                 | 18              | 
| 536             | father          | Nephi 1         |                 | 18              | 
| 537             | had             | Nephi 1         |                 | 18              | 
| 538             | heard           | Nephi 1         |                 | 18              | 
| 539             | these           | Nephi 1         |                 | 18              | 
| 540             | words           | Nephi 1         |                 | 18              | 
| 541             | he              | Nephi 1         |                 | 18              | 
| 542             | was             | Nephi 1         |                 | 18              | 
| 543             | exceedingly     | Nephi 1         |                 | 18              | 
| 544             | glad            | Nephi 1         |                 | 18              | 
| 545             | for             | Nephi 1         |                 | 18              | 
| 546             | he              | Nephi 1         |                 | 18              | 
| 547             | knew            | Nephi 1         |                 | 18              | 
| 548             | that            | Nephi 1         |                 | 18              | 
| 549             | I               | Nephi 1         |                 | 18              | 
| 550             | had             | Nephi 1         |                 | 18              | 
| 551             | been            | Nephi 1         |                 | 18              | 
| 552             | blessed         | Nephi 1         |                 | 18              | 
| 553             | of              | Nephi 1         |                 | 18              | 
| 554             | the             | Nephi 1         |                 | 18              | 
| 555             | Lord            | Nephi 1         |                 | 18              | 
| 556             | And             | Nephi 1         |                 | 19              | 
| 557             | I               | Nephi 1         |                 | 19              | 
| 558             | Nephi           | Nephi 1         |                 | 19              | 
| 559             | and             | Nephi 1         |                 | 19              | 
| 560             | my              | Nephi 1         |                 | 19              | 
| 561             | brethren        | Nephi 1         |                 | 19              | 
| 562             | took            | Nephi 1         |                 | 19              | 
| 563             | our             | Nephi 1         |                 | 19              | 
| 564             | journey         | Nephi 1         |                 | 19              | 
| 565             | in              | Nephi 1         |                 | 19              | 
| 566             | the             | Nephi 1         |                 | 19              | 
| 567             | wilderness      | Nephi 1         |                 | 19              | 
| 568             | with            | Nephi 1         |                 | 19              | 
| 569             | our             | Nephi 1         |                 | 19              | 
| 570             | tents           | Nephi 1         |                 | 19              | 
| 571             | to              | Nephi 1         |                 | 19              | 
| 572             | go              | Nephi 1         |                 | 19              | 
| 573             | up              | Nephi 1         |                 | 19              | 
| 574             | to              | Nephi 1         |                 | 19              | 
| 575             | the             | Nephi 1         |                 | 19              | 
| 576             | land            | Nephi 1         |                 | 19              | 
| 577             | of              | Nephi 1         |                 | 19              | 
| 578             | Jerusalem       | Nephi 1         |                 | 19              | 
| 579             | And             | Nephi 1         |                 | 20              | 
| 580             | it              | Nephi 1         |                 | 20              | 
| 581             | came            | Nephi 1         |                 | 20              | 
| 582             | to              | Nephi 1         |                 | 20              | 
| 583             | pass            | Nephi 1         |                 | 20              | 
| 584             | that            | Nephi 1         |                 | 20              | 
| 585             | when            | Nephi 1         |                 | 20              | 
| 586             | we              | Nephi 1         |                 | 20              | 
| 587             | had             | Nephi 1         |                 | 20              | 
| 588             | gone            | Nephi 1         |                 | 20              | 
| 589             | up              | Nephi 1         |                 | 20              | 
| 590             | to              | Nephi 1         |                 | 20              | 
| 591             | the             | Nephi 1         |                 | 20              | 
| 592             | land            | Nephi 1         |                 | 20              | 
| 593             | of              | Nephi 1         |                 | 20              | 
| 594             | Jerusalem       | Nephi 1         |                 | 20              | 
| 595             | I               | Nephi 1         |                 | 20              | 
